ID	YearStart	YearEnd	Description	LocationAbbr	LocationDesc	DataSource	Class	Topic	Question	Response	Data_Value_Unit	DataValueTypeId	Data_Value_Type	Data_Value	Data_Value_Footnote_Symbol	Data_Value_Footnote	Low_Confidence_Limit	High_Confidence_Limit	GeoLocation_Lat	GeoLocation_Long	ClassId	TopicId	QuestionId	ResponseId	StratficationCategory1	StratificationCategoryId1	Stratification1	StratificationId1	StratificationCategory2	StratificationCategoryId2	Stratification2	StratificationId2	StratificationCategory3	StratificationCategoryId3	Stratification3	StratificationId3	DisplayOrder	FootnoteSymbol	FootnoteText	URL	FootnoteHeading
263619	2014	2014	2014	US	United States	BRFSS		Oral Health	Visits to dentist or dental clinic among adults aged >= 18 years		%	AgeAdjPrev	Age-adjusted Prevalence	62	*	50 States + DC: US Median						ORH	ORH1_1		Gender	GENDER	Male	GENM									1				
263453	2014	2014	2014	AL	Alabama	BRFSS		Oral Health	Visits to dentist or dental clinic among adults aged >= 18 years		%	AgeAdjPrev	Age-adjusted Prevalence	58.9			56.4	61.4	32.84057112	-86.63186076		ORH	ORH1_1		Gender	GENDER	Male	GENM									2				
263445	2014	2014	2014	AK	Alaska	BRFSS		Oral Health	Visits to dentist or dental clinic among adults aged >= 18 years		%	AgeAdjPrev	Age-adjusted Prevalence	60.2			57.2	63.2	64.84507996	-147.722059		ORH	ORH1_1		Gender	GENDER	Male	GENM									3				
263470	2014	2014	2014	AZ	Arizona	BRFSS		Oral Health	Visits to dentist or dental clinic among adults aged >= 18 years		%	AgeAdjPrev	Age-adjusted Prevalence	56.8			54.6	58.9	34.86597028	-111.7638113		ORH	ORH1_1		Gender	GENDER	Male	GENM									4				
263462	2014	2014	2014	AR	Arkansas	BRFSS		Oral Health	Visits to dentist or dental clinic among adults aged >= 18 years		%	AgeAdjPrev	Age-adjusted Prevalence	54.8			51.3	58.3	34.74865012	-92.27449074		ORH	ORH1_1		Gender	GENDER	Male	GENM									5				
263478	2014	2014	2014	CA	California	BRFSS		Oral Health	Visits to dentist or dental clinic among adults aged >= 18 years		%	AgeAdjPrev	Age-adjusted Prevalence	62.8			60.9	64.6	37.63864012	-120.9999995		ORH	ORH1_1		Gender	GENDER	Male	GENM									6				
263092	2014	2014	2014	CO	Colorado	BRFSS		Oral Health	Visits to dentist or dental clinic among adults aged >= 18 years		%	AgeAdjPrev	Age-adjusted Prevalence	64.2			62.6	65.8	38.84384076	-106.1336109		ORH	ORH1_1		Gender	GENDER	Male	GENM									7				
263100	2014	2014	2014	CT	Connecticut	BRFSS		Oral Health	Visits to dentist or dental clinic among adults aged >= 18 years		%	AgeAdjPrev	Age-adjusted Prevalence	71.7			69.5	73.9	41.56266102	-72.64984095		ORH	ORH1_1		Gender	GENDER	Male	GENM									8				
263116	2014	2014	2014	DE	Delaware	BRFSS		Oral Health	Visits to dentist or dental clinic among adults aged >= 18 years		%	AgeAdjPrev	Age-adjusted Prevalence	64.1			60.7	67.4	39.00883067	-75.57774117		ORH	ORH1_1		Gender	GENDER	Male	GENM									9				
263108	2014	2014	2014	DC	District of Columbia	BRFSS		Oral Health	Visits to dentist or dental clinic among adults aged >= 18 years		%	AgeAdjPrev	Age-adjusted Prevalence	68.5			64.7	72	38.907192	-77.036871		ORH	ORH1_1		Gender	GENDER	Male	GENM									10				
